loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,745.3559584756149,j,19.937126834702212,0,765.3184714271338,766.33285688865,1,766.33285688865,X,l,go,None,0,,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,767.7335150222934,768.7345157500531,1,768.7345157500531,Y,d,go,None,0,,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,770.1357367930759,771.136113520537,1,771.136113520537,X,l,go,l,1,0.37796195756527595,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,772.2206522281922,773.2213368345692,1,773.2213368345692,Y,d,go,d,1,0.292743491998408,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,774.2218847136246,775.2226420473307,1,775.2226420473307,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,776.6238868479268,777.6247096362058,1,777.6247096362058,X,l,go,l,1,0.3213321119255852,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,778.6589001982356,779.6595683197957,1,779.6595683197957,Y,d,go,d,1,0.43066355885821395,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,780.7934670513787,781.7943276578444,1,781.7943276578444,Y,None,nogo,d,0,0.6476120277075097,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,783.5458533555502,784.5463813558163,1,784.5463813558163,X,l,go,l,1,0.43932441156357527,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,785.6974427623791,786.6983969446737,1,786.6983969446737,Y,d,go,d,1,0.44794017329695635,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
