loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,124.01791806929396,j,16.433344909601146,0,140.48434302271926,141.51120800542412,1,141.51120800542412,X,d,go,None,0,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,142.89718540469767,143.89993740603677,1,143.89993740603677,Y,l,go,None,0,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,145.3165499716706,146.31647772921133,1,146.31647772921133,X,d,go,None,0,147.1171093901212,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,147.71786701472593,148.71839743922465,1,148.71839743922465,Y,l,go,l,1,,0.6083689944643993,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,150.0695103367325,151.07027251893305,1,151.07027251893305,X,d,go,d,1,,0.4813808116596192,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,152.25461588101462,153.25530145710218,1,153.25530145710218,Y,l,go,l,1,,0.377076276257867,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,154.3559739907796,155.35689762758557,1,155.35689762758557,X,d,go,d,1,,0.4661318345752079,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,156.54052098933607,157.54111832295894,1,157.54111832295894,Y,l,go,d,0,,0.34771868627285585,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,158.59215204467182,159.592918590497,1,159.592918590497,X,d,go,d,1,,0.45447704105754383,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,160.76036788380588,161.76099236897426,1,161.76099236897426,Y,l,go,l,1,,0.28679889914928935,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,162.76178170269122,163.7624987939489,1,163.7624987939489,Y,None,nogo,l,0,,0.39790052876924165,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,165.2801877722086,166.28152207587846,1,166.28152207587846,X,d,go,d,1,,0.309174182737479,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
