loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,191.568364815339,j,19.451057681540988,0,211.0521323383582,212.07283826771527,1,212.07283826771527,X,l,go,None,0,,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,213.48461358321583,214.48570691602072,1,214.48570691602072,Y,d,go,None,0,215.28617198246138,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,215.88665023677459,216.88739060005173,1,216.88739060005173,X,l,go,None,0,217.68825421175643,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,218.28853561767755,219.28951888993106,1,219.28951888993106,X,None,nogo,None,1,220.09023753200745,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,220.6904137258607,221.69130342239805,1,221.69130342239805,Y,d,go,None,0,222.49209382201298,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,223.09221910680208,224.09291001555903,1,224.09291001555903,X,l,go,None,0,224.8937842939231,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,225.49400848775258,226.4947701843521,1,226.4947701843521,Y,d,go,d,1,,0.4599430105663487,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,227.59557255972322,228.5963405593502,1,228.5963405593502,X,l,go,l,1,,0.27883570443373173,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,229.49705624385024,230.49801333429787,1,230.49801333429787,X,None,nogo,d,0,,0.32958331619374803,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,231.86538188345003,232.8660955800733,1,232.8660955800733,Y,d,go,None,0,233.66672646461666,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,234.26719987044999,235.26794314281506,1,235.26794314281506,X,l,go,d,0,,0.47174858059952385,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,236.36881873026869,237.3695072147857,1,237.3695072147857,Y,d,go,None,0,238.16988112975378,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,238.7703836264809,239.7711404745969,1,239.7711404745969,X,l,go,l,1,,0.3362276766092691,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,240.73907406590297,241.73934897486106,1,241.73934897486106,Y,d,go,d,1,,0.48020821286263526,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,242.84017074415897,243.84128928907012,1,243.84128928907012,Y,None,nogo,d,0,,0.7302260310352722,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,250.86282867256887,251.06298130279538,0.2,251.06298130279538,X,l,go,None,0,,,245.64713083775496,j,5.19552907815887,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
