loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1148.840048562386,j,29.424348601314705,0,1178.2851799829514,1179.3001787635149,1,1179.3001787635149,1180.100590981543,X,d,go,None,0,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1180.7009848722373,1181.7015671749832,1,1181.7015671749832,,Y,l,go,None,0,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1183.1026845562737,1184.103455464996,1,1184.103455464996,,X,d,go,d,1,0.6370491042616777,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1185.4548511733883,1186.455504263984,1,1186.455504263984,,Y,l,go,l,1,0.5090064997202717,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1187.6728467040812,1188.6736244006897,1,1188.6736244006897,,Y,None,nogo,d,0,0.22808930260362104,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1190.008770904853,1191.009890419431,1,1191.009890419431,,X,d,go,d,1,0.5472862387541682,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1192.2937506454764,1193.294509432977,1,1193.294509432977,,Y,l,go,l,1,0.3901124967378564,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1194.395419444656,1195.3964356865617,1,1195.3964356865617,,X,d,go,d,1,0.5434782406082377,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1196.6639734962373,1197.6648079201113,1,1197.6648079201113,1198.4651367441984,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1199.065600453061,1200.0665672404575,1,1200.0665672404575,,X,None,nogo,d,0,0.44939537707250565,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
