loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,940.475898920733,j,20.90974331990583,0,961.4136007691268,962.4265597931808,1,962.4265597931808,X,l,go,l,1,0.42667397833429277,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,963.5610363340238,964.577628325962,1,964.577628325962,Y,d,go,d,1,0.2910342864925042,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,965.5795958401868,966.5801587490132,1,966.5801587490132,X,l,go,l,1,0.41727713437285274,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,967.7141155325226,968.7148966230452,1,968.7148966230452,Y,d,go,d,1,0.297669434803538,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,969.732592614484,970.7331909172353,1,970.7331909172353,Y,None,nogo,None,1,,971.533792710863,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,972.1342171470169,973.1351451465744,1,973.1351451465744,X,l,go,l,1,0.29362580040469766,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,974.1527082895627,975.1531606530189,1,975.1531606530189,Y,d,go,d,1,0.19622318097390234,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,976.0708183898823,977.0714860259322,1,977.0714860259322,X,l,go,l,1,0.3252316032303497,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,978.1223538800841,979.1228377586231,1,979.1228377586231,Y,d,go,d,1,0.3376228699926287,,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,980.1904891197337,981.1908159074956,1,981.1908159074956,Y,None,nogo,None,1,,981.9914036405389,,,,,,,,,,,,,,,,25,001,22,w,Bildungswissenschaften,2023-01-17_09h05.39.987,00_bat_bachelor,2022.2.4,59.95642441382072,
