loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,146.22842569695786,j,19.20866030291654,0,165.4622414545156,166.4872989091091,1,166.4872989091091,X,d,go,None,0,,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,167.88925381819718,168.89167660614476,1,168.89167660614476,Y,l,go,None,0,,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,170.30751709081233,171.30847127269953,1,171.30847127269953,X,d,go,d,1,0.4325293938163668,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,172.37591806054115,173.37652024254203,1,173.37652024254203,Y,l,go,None,0,,174.17743175756186,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,174.7775859395042,175.77833406068385,1,175.77833406068385,Y,None,nogo,l,0,0.5392343634739518,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,177.37939199991524,178.38019248493947,1,178.38019248493947,X,d,go,None,0,,179.18093963642605,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,179.7812184242066,180.7817726060748,1,180.7817726060748,Y,l,go,l,1,0.4787970301695168,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,181.88277381821536,182.88341721217148,1,182.88341721217148,X,d,go,d,1,0.6015524242538959,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,184.11772654554807,185.11857648496516,1,185.11857648496516,X,None,nogo,d,0,0.5905332725960761,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,186.75302642420866,187.75383175746538,1,187.75383175746538,Y,l,go,None,0,,188.55444751516916,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
