loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1140.168525494053,j,11.74021677125711,0,1151.946181359468,1152.9589634138392,1,1152.9589634138392,X,l,go,l,1,0.3538227768149227,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1154.0260363511043,1155.026863502222,1,1155.026863502222,Y,d,go,d,1,0.5426643822574988,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1156.277748228982,1157.2785302893026,1,1157.2785302893026,X,l,go,l,1,0.354587382520549,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1158.346067226259,1159.3468119531171,1,1159.3468119531171,Y,d,go,d,1,0.31781212764326483,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1160.3809603002155,1161.3816667241044,1,1161.3816667241044,X,l,go,l,1,0.31486231076996773,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1162.3990945944097,1163.3997244123602,1,1163.3997244123602,Y,d,go,d,1,0.39311342441942543,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1164.5007313936949,1165.5014785447856,1,1165.5014785447856,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1166.902507198858,1167.9033067135606,1,1167.9033067135606,X,l,go,l,1,0.3376952693797648,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1168.9543088707142,1169.9548814764712,1,1169.9548814764712,Y,d,go,d,1,0.39831245213281363,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1171.0554642155766,1172.0563340333756,1,1172.0563340333756,X,l,go,l,1,0.28053796384483576,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1173.040378647158,1174.0413594951387,1,1174.0413594951387,X,None,nogo,d,0,0.29579128976911306,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1175.4421311796177,1176.4431382094044,1,1176.4431382094044,Y,d,go,d,1,0.5977101736934856,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,1177.7442158816848,1178.7448558813194,1,1178.7448558813194,X,l,go,l,1,0.37571319041308016,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1179.8290846890304,1180.8298420219216,1,1180.8298420219216,Y,d,go,d,1,0.4509771539596841,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1181.9982341827126,1182.99869915226,1,1182.99869915226,X,l,go,l,1,0.3123764938209206,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1198.71023092838,1198.9100795588456,0.2,1198.9100795588456,X,l,go,l,1,0.3227983070537448,1184.0618268791586,j,14.630196945858188,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1199.9444252391113,1200.1445628390647,0.2,1200.1445628390647,Y,d,go,d,1,0.35219611087813973,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1201.2124289879575,1201.4125699818833,0.2,1201.4125699818833,X,l,go,l,1,0.2684885150520131,,,,,,,,,,,,,,,,,,37,001, 19,w,Sport&Psychologie,2023-01-18_09h09.46.824,00_bat_bachelor,2022.2.4,59.942832748041894,
