loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,20230.735470188898,j,3.1949447975493968,0,20233.96628607693,20234.981399281765,1,20234.981399281765,X,l,go,None,0,,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,20236.39892198844,20237.40130065393,1,20237.40130065393,Y,d,go,None,0,,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,20238.815586513723,20239.81586530141,1,20239.81586530141,X,l,go,None,0,20240.615738852997,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,20241.215602804557,20242.21587044082,1,20242.21587044082,Y,d,go,d,1,,0.46224551636260003,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,20243.415582828806,20244.41545676824,1,20244.41545676824,Y,None,nogo,d,0,,0.3432778165442869,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,20245.915052162483,20246.915054101846,1,20246.915054101846,Y,None,nogo,d,0,,0.46727436257060617,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,20248.498639273457,20249.49837600079,1,20249.49837600079,X,l,go,l,1,,0.3635168371256441,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,20250.565298635047,20251.5652511199,1,20251.5652511199,Y,d,go,d,1,,0.2654868239769712,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,20252.53185283311,20253.531936711865,1,20253.531936711865,Y,None,nogo,None,1,20254.331935839145,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,20254.93182500277,20255.932043184526,1,20255.932043184526,X,l,go,l,1,,0.3790373143274337,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
