loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1078.8999748362694,j,26.596534202923067,0,1105.5226906556636,1106.5374901635805,1,1106.5374901635805,X,l,go,None,0,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1107.9387418478727,1108.9394182111137,1,1108.9394182111137,Y,d,go,None,0,1109.7399206109112,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1110.3405695317779,1111.3411770466482,1,1111.3411770466482,X,l,go,None,0,1112.1418559311423,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1112.7421538219787,1113.7429775791243,1,1113.7429775791243,X,None,nogo,None,1,1114.5436981605599,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1115.144095930038,1116.1448872024193,1,1116.1448872024193,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1117.5456933111418,1118.5464244622272,1,1118.5464244622272,X,l,go,None,0,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1119.9474220860284,1120.9481740857009,1,1120.9481740857009,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1122.3492201942718,1123.349848072743,1,1123.349848072743,X,l,go,l,1,,0.3503054737811908,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1124.4010262297234,1125.4014819870936,1,1125.4014819870936,Y,d,go,d,1,,0.6192149190464988,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1126.7357877644245,1127.7373184303287,1,1127.7373184303287,Y,None,nogo,None,1,1128.537996829953,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1129.1383727813372,1130.1394001747249,1,1130.1394001747249,X,l,go,l,1,,0.4413497932255268,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1131.2902534350287,1132.2909928285517,1,1132.2909928285517,Y,d,go,d,1,,0.3534855934558436,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,1133.375013151439,1134.37570066622,1,1134.37570066622,X,l,go,l,1,,0.3647549212910235,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1135.4600269284565,1136.4605874129338,1,1136.4605874129338,X,None,nogo,l,0,,0.327177727362141,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1137.9279757924378,1138.9287030647974,1,1138.9287030647974,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1155.5413742829114,1155.7416684888303,0.2,1155.7416684888303,X,l,go,l,1,,0.4385008249664679,1140.3601050374564,j,15.152558175614104,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1156.8923312036786,1157.0922816521488,0.2,1157.0922816521488,Y,d,go,d,1,,0.43220555526204407,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1158.2266898293747,1158.4266916718334,0.2,1158.4266916718334,X,l,go,l,1,,0.2822385976323858,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
