loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1366.3114966422604,j,26.59400338760622,0,1392.930553931626,1393.9463963736662,1,1393.9463963736662,X,l,go,l,1,0.5234922949015299,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1395.181095982241,1396.1819973144648,1,1396.1819973144648,Y,d,go,d,1,0.527715879447328,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1397.416466359221,1398.417727485874,1,1398.417727485874,X,l,go,None,0,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1399.8188642229366,1400.819889452444,1,1400.819889452444,Y,d,go,d,1,0.37807052516438944,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1401.9043000152205,1402.905350680594,1,1402.905350680594,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1404.3065653662784,1405.30782362114,1,1405.30782362114,X,l,go,l,1,0.6180267426542514,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1406.642345465831,1407.6434679259883,1,1407.6434679259883,Y,d,go,None,0,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1409.0446817911607,1410.045885892243,1,1410.045885892243,Y,None,nogo,d,0,0.5354126904870782,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1411.6974305262393,1412.6984852941719,1,1412.6984852941719,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1414.099880082199,1415.1009611065092,1,1415.1009611065092,X,l,go,l,1,0.4330107652382367,,,,,,,,,,,,,,,,57,001,21,w,Psychologie,2023-01-24_09h11.31.047,00_bat_bachelor,2022.2.4,59.91129452473678,
