loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,3709.681191933283,j,14.699447153820074,0,3724.4033477850753,3725.4302132656594,1,3725.4302132656594,X,l,go,l,1,0.44476666445552837,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,3726.5861547502136,3727.5879957216966,1,3727.5879957216966,Y,d,go,d,1,0.3093580482964171,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,3728.6044379194645,3729.6049727078644,1,3729.6049727078644,X,l,go,l,1,0.6426277047867188,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,3730.972604579496,3731.9735728228698,1,3731.9735728228698,X,None,nogo,None,1,,3732.77421893258,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,3733.37469563607,3734.375245454794,1,3734.375245454794,Y,d,go,d,1,0.4161237275839085,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,3735.5094157667045,3736.5104644950043,1,3736.5104644950043,X,l,go,l,1,0.44138144903990906,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,3737.678205748569,3738.678505870077,1,3738.678505870077,X,None,nogo,None,1,,3739.479446283105,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,3740.0795835923345,3741.0805663811625,1,3741.0805663811625,Y,d,go,d,1,0.39832443759951275,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,3742.198037525377,3743.1989107383415,1,3743.1989107383415,X,l,go,l,1,0.4726837824273389,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,3744.399543660169,3745.400583661176,1,3745.400583661176,Y,d,go,d,1,0.36697458900744095,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,3746.484466894035,3747.485486046542,1,3747.485486046542,X,l,go,l,1,0.3787612671148963,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,3748.5694046733697,3749.5704286743567,1,3749.5704286743567,Y,d,go,d,1,0.5170164314768044,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,3750.8044851437444,3751.805209508093,1,3751.805209508093,Y,None,nogo,None,1,,3752.606031133124,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,3753.2062940182223,3754.2070775341417,1,3754.2070775341417,X,l,go,l,1,0.3282627938897349,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,3755.2413689613313,3756.2421713863587,1,3756.2421713863587,Y,d,go,d,1,0.26161836563551333,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,3774.3889288619976,3774.5891365712887,0.2,3774.5891365712887,X,l,go,None,0,,3775.3896915294026,3757.2803706961276,j,17.082832737723948,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,3775.9903088390856,3776.190103941917,0.2,3776.190103941917,Y,d,go,d,1,0.39499934345076326,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,3777.291145494455,3777.49113453686,0.2,3777.49113453686,X,l,go,l,1,0.22848427289864048,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,3778.425528170221,3778.6255492126656,0.2,3778.6255492126656,Y,d,go,d,1,0.3421944437723141,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,3779.676272655779,3779.876270425477,0.2,3779.876270425477,Y,None,nogo,l,0,0.2115189231117256,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,3781.2106523254915,3781.4108692469017,0.2,3781.4108692469017,X,l,go,None,0,,3782.2115420233167,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,3782.811836908455,3783.0121900724334,0.2,3783.0121900724334,Y,d,go,d,1,0.34017698727257084,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,3784.0629556974163,3784.2631420733524,0.2,3784.2631420733524,X,l,go,l,1,0.2733628618734656,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,3785.247227391257,3785.447371100483,0.2,3785.447371100483,Y,d,go,d,1,0.36818671139189973,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,3786.5315210002736,3786.7316933155817,0.2,3786.7316933155817,Y,None,nogo,None,1,,3787.532309364673,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,3788.132567401277,3788.3329205652553,0.2,3788.3329205652553,X,l,go,l,1,0.31523005398048554,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,3789.350299491198,3789.5504504731653,0.2,3789.5504504731653,Y,d,go,d,1,0.3302860685798805,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,3790.584749657937,3790.78484827622,0.2,3790.78484827622,Y,None,nogo,d,0,0.4242667657817947,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,3792.335987719751,3792.536176519934,0.2,3792.536176519934,X,l,go,l,1,0.3522196656122105,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,3793.603627736855,3793.8037636884983,0.2,3793.8037636884983,Y,d,go,d,1,0.33192194896400906,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3794.9011945708626,None,,3794.9011945708626,3794.9011945708626,space,10.48641373513965,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,3806.413334703844,X,l,go,l,1,0.3623714330315124,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,3807.880877460251,Y,d,go,d,1,0.35147057397989556,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,3809.3487712472997,X,l,go,l,1,0.3247214571310906,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,3810.7831319109246,Y,d,go,l,0,0.3293813404307002,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,3812.2174775442254,X,l,go,l,1,0.31836605702119414,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,3813.651992389816,Y,d,go,d,1,0.34069432110118214,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,3815.102976584705,X,l,go,d,0,0.3296203709760448,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,3816.537413854472,X,None,nogo,l,0,0.4477014551666798,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,3818.0889707529423,Y,d,go,d,1,0.36768780181591865,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,3819.5734027378494,X,l,go,l,1,0.37076368360430934,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,3821.0576916923164,X,None,nogo,l,0,0.2948431251279544,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,3822.458634141716,X,None,nogo,l,0,0.2855165706278058,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,3823.859660954826,Y,d,go,d,1,0.35624827558058314,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,3825.327288559798,X,l,go,None,0,,,,,,,,,,,,,,,,,5,001,2022-12-16_11h01.13.193,00_bat_bachelor,2022.2.4,59.95302585157003,
