loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1454.7903264047345,j,20.15627610741649,0,1474.9813537059817,1475.9951776993694,1,1475.9951776993694,1476.7951113720192,X,l,go,None,0,,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1477.394998596399,1478.394846838899,1,1478.394846838899,,Y,d,go,d,1,0.2775895030936226,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1479.3780526651535,1480.378130240948,1,1480.378130240948,,X,l,go,l,1,0.2616059957072139,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1481.3448483176762,1482.3447081964696,1,1482.3447081964696,,Y,d,go,d,1,0.27872259356081486,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1483.3283242044272,1484.3283402044326,1,1484.3283402044326,,X,l,go,l,1,0.29535434301942587,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1485.3280444470001,1486.3283261439065,1,1486.3283261439065,,X,None,nogo,l,0,0.3916616903152317,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1487.8283879619557,1488.8284252953017,1,1488.8284252953017,,Y,d,go,d,1,0.4356088205240667,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1489.9783214650815,1490.9780504348455,1,1490.9780504348455,,X,l,go,l,1,0.3498483772855252,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1492.0283190165646,1493.027992228861,1,1493.027992228861,,Y,d,go,d,1,0.3797140596434474,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1494.1115247943671,1495.1117279458558,1,1495.1117279458558,,X,l,go,l,1,0.3769048488466069,,,,,,,,,,,,,,,77,001,22,w,Psychologie MSc,2023-01-26_12h07.25.472,00_bat_bachelor,2022.2.4,59.985894240986354,
