loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,8833.699060024694,j,36.623050056165084,0,8870.345729286782,8871.378479816485,1,8871.378479816485,X,l,go,None,0,,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,8872.778532955796,8873.781031863764,1,8873.781031863764,Y,d,go,l,0,0.6028047325089574,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,8875.113685762975,8876.114282611292,1,8876.114282611292,X,l,go,l,1,0.34844364365562797,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,8877.198371782666,8878.199359418359,1,8878.199359418359,X,None,nogo,l,0,0.5665220832452178,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,8879.900380169507,8880.901023078244,1,8880.901023078244,Y,d,go,d,1,0.6665511259343475,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,8882.268954536179,8883.269589687465,1,8883.269589687465,X,l,go,None,0,,8884.070990995737,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,8884.671045977622,8885.671544401674,1,8885.671544401674,X,None,nogo,l,0,0.4702869786415249,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,8887.289099011337,8888.289988707751,1,8888.289988707751,Y,d,go,d,1,0.5407039141282439,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,8889.541021313285,8890.5417190101,1,8890.5417190101,X,l,go,l,1,0.4651320718694478,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,8891.709268019767,8892.710121352691,1,8892.710121352691,Y,d,go,d,1,0.48868599999696016,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,8893.911020649131,8894.911748406477,1,8894.911748406477,Y,None,nogo,d,0,0.3994918614625931,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,8896.429510579677,8897.430193245877,1,8897.430193245877,X,l,go,l,1,0.6654587625525892,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,8898.798055370571,8899.798915976193,1,8899.798915976193,Y,d,go,d,1,0.48815703042782843,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,8900.99952096981,8902.000415999675,1,8902.000415999675,X,l,go,l,1,0.5262757998425514,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,8903.234755764948,8904.235564006958,1,8904.235564006958,X,None,nogo,None,1,,8905.035912225023,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,8939.812433060491,8940.012779630022,0.2,8940.012779630022,X,l,go,None,0,,8940.813431363087,8905.674167430727,j,34.1197416940704,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,8941.413836890133,8941.614040914457,0.2,8941.614040914457,Y,d,go,None,0,,8942.414541859645,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,8943.01490472001,8943.21520765312,0.2,8943.21520765312,X,l,go,l,1,0.4150676114950329,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,8944.332769293105,8944.532714408357,0.2,8944.532714408357,X,None,nogo,l,0,0.47367994650267065,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,8946.13427823782,8946.334383837879,0.2,8946.334383837879,Y,d,go,d,1,0.49629666307009757,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,8947.551822762704,8947.752183392877,0.2,8947.752183392877,X,l,go,l,1,0.5512154242023826,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,8949.019259142224,8949.219488378381,0.2,8949.219488378381,Y,d,go,d,1,0.42758105997927487,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,8950.35358528304,8950.553484337637,0.2,8950.553484337637,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,8951.954805355286,8952.154970106669,0.2,8952.154970106669,X,l,go,l,1,0.403963616816327,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,8953.27253659512,8953.47262231633,0.2,8953.47262231633,Y,d,go,d,1,0.38258277880959213,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,8954.556857426884,8954.756677936064,0.2,8954.756677936064,X,l,go,l,1,0.4576188635546714,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,8955.924558582017,8956.124441636493,0.2,8956.124441636493,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,85,001,24,männlich,Psychologie,2023-01-31_12h08.02.636,00_bat_bachelor,2022.2.4,59.9536358741257,
