loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1894.0672765735071,j,38.14884710870683,0,1932.2421235190704,1933.2609264189377,1,1933.2609264189377,X,d,go,d,1,0.653347227955237,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1934.6224142436404,1935.623062485829,1,1935.623062485829,Y,l,go,l,1,0.477552403928712,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1936.8222420257516,1937.8224490557332,1,1937.8224490557332,X,d,go,None,0,,1938.6226387284696,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1939.222239407478,1940.222211771179,1,1940.222211771179,X,None,nogo,None,1,,1941.0226535648108,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1941.622371577192,1942.622314365115,1,1942.622314365115,Y,l,go,None,0,,1943.422542825574,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1944.02243295894,1945.022810655646,1,1945.022810655646,X,d,go,None,0,,1945.822241056012,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1946.4224705831148,1947.4223988256417,1,1947.4223988256417,X,None,nogo,d,0,0.30998303066007793,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1948.872223092243,1949.8722502437886,1,1949.8722502437886,Y,l,go,l,1,0.6434888083022088,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1951.238488126779,1952.2389138236176,1,1952.2389138236176,X,d,go,d,1,0.48532064259052277,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1953.4388317873236,1954.4388259691186,1,1954.4388259691186,X,None,nogo,d,0,0.5266665620729327,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
