loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,735.9944940579298,j,23.93150624683767,0,759.9505614305672,760.9652935589256,1,760.9652935589256,X,l,go,l,1,0.5725766182586085,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,762.2669252203195,763.2690057061845,1,763.2690057061845,Y,d,go,d,1,0.5586580660601612,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,764.5519634191296,765.5526111770159,1,765.5526111770159,X,l,go,None,0,,766.3528152013605,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,766.9534899168357,767.9540610686236,1,767.9540610686236,X,None,nogo,None,1,,768.7541593959468,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,769.3545892628317,770.355167202506,1,770.355167202506,Y,d,go,d,1,0.6391924081399338,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,771.7066117365321,772.7073642217438,1,772.7073642217438,X,l,go,None,0,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,774.108094597861,775.1091632044408,1,775.1091632044408,Y,d,go,None,0,,775.9094666227611,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,776.5102770958911,777.5110761265823,1,777.5110761265823,X,l,go,l,1,0.3959316841355758,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,778.6115270843729,779.6131304790906,1,779.6131304790906,X,None,nogo,l,0,0.46841656776086893,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,781.230874778601,782.231316960635,1,782.231316960635,Y,d,go,None,0,,783.0319331063802,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,783.6325064884877,784.6327867310465,1,784.6327867310465,X,l,go,l,1,0.6490818674647016,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,785.9841570832214,786.984910538129,1,786.984910538129,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,788.3856777627516,789.3867725511518,1,789.3867725511518,Y,d,go,None,0,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,790.7877865637711,791.7884638974356,1,791.7884638974356,X,l,go,None,0,,,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,793.1896316070925,794.190415122619,1,794.190415122619,Y,d,go,None,0,,794.9907195106498,,,,,,,,,,,,,,,,11,001,20,w,Psychologie,2023-01-10_10h30.21.266,00_bat_bachelor,2022.2.4,59.982695888699986,
