loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;stimulus.stopped;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.stopped;image_end_screen.stopped;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;0;0;0;0;0;0;0;0;;;;;;;;;0;d;l;11.885.357.141.644.900;j;17.277.627.830.044.300;0;1.205.841.750.864.630;1.206.856.066.494.010;1;1.206.856.066.494.010;X;d;go;None;0;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;1;12.082.571.538.147.100;12.092.578.878.749.600;1;12.092.578.878.749.600;Y;l;go;None;0;12.100.585.973.049.100;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;2;0;2;0;;;;;;;;;;;;;;;2;12.106.589.989.532.300;12.116.597.596.801.000;1;12.116.597.596.801.000;X;d;go;d;1;;0.5346759479143657;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;3;0;3;0;;;;;;;;;;;;;;;3;12.129.108.315.584.000;1.213.911.504.042.910;1;1.213.911.504.042.910;Y;l;go;l;1;;0.36236378899775445;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;4;0;4;0;;;;;;;;;;;;;;;4;12.149.789.881.313.900;12.159.797.246.159.200;1;12.159.797.246.159.200;X;d;go;None;0;12.167.804.548.943.500;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;5;0;5;0;;;;;;;;;;;;;;;5;12.173.808.618.759.500;12.183.816.177.544.000;1;12.183.816.177.544.000;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;6;0;6;0;;;;;;;;;;;;;;;6;12.197.826.362.266.200;12.207.831.181.657.900;1;12.207.831.181.657.900;Y;l;go;l;1;;0.3076219973154366;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;7;0;7;0;;;;;;;;;;;;;;;7;1.221.800.601.308.810;12.228.016.296.719.400;1;12.228.016.296.719.400;X;d;go;d;1;;0.5128393524209969;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;8;0;8;0;;;;;;;;;;;;;;;8;12.240.191.548.998.100;12.250.199.839.903.500;1;12.250.199.839.903.500;Y;l;go;l;1;;0.5816815008292906;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;0;0;0;0;9;0;9;0;;;;;;;;;;;;;;;9;12.263.042.471.252.200;1.227.305.162.033.880;1;1.227.305.162.033.880;X;d;go;d;1;;0.4086827968712896;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
