loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus.stopped;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;0;0;0;0;0;0;0;0;;;;;;;;;1;l;d;11.378.298.429.915.800;j;4.104.886.479.806.730;0;11.419.708.247.414.000;11.429.846.181.892.600;1;11.429.846.181.892.600;11.437.843.554.984.800;X;l;go;None;0;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;1;11.443.842.267.227.800;11.453.843.513.288.000;1;11.453.843.513.288.000;;Y;d;go;d;1;0.5967243019404123;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;2;0;2;0;;;;;;;;;;;;;;;2;11.466.845.577.286.800;11.476.844.505.772.300;1;11.476.844.505.772.300;11.484.841.709.167.600;X;l;go;None;0;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;3;0;3;0;;;;;;;;;;;;;;;3;11.490.843.805.651.300;11.500.841.880.803.900;1;11.500.841.880.803.900;;Y;d;go;d;1;0.4875650821340969;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;4;0;4;0;;;;;;;;;;;;;;;4;11.512.843.654.378.800;11.522.843.596.197.000;1;11.522.843.596.197.000;;X;l;go;l;1;0.5433163278212305;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;5;0;5;0;;;;;;;;;;;;;;;5;11.535.344.133.166.300;11.545.344.816.802.500;1;11.545.344.816.802.500;;Y;d;go;d;1;0.46951612120028585;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;6;0;6;0;;;;;;;;;;;;;;;6;11.557.177.179.550.300;1.156.717.706.803.530;1;1.156.717.706.803.530;;X;l;go;l;1;0.5584576538240071;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;7;0;7;0;;;;;;;;;;;;;;;7;1.157.984.600.734.730;11.589.840.586.743.900;1;11.589.840.586.743.900;;Y;d;go;d;1;0.4042734861577628;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;8;0;8;0;;;;;;;;;;;;;;;8;11.601.008.508.601.900;11.611.010.457.691.800;1;11.611.010.457.691.800;;X;l;go;l;1;0.43084947326860856;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;0;0;0;0;9;0;9;0;;;;;;;;;;;;;;;9;1.162.234.369.825.760;1.163.234.380.007.570;1;1.163.234.380.007.570;;Y;d;go;d;1;0.45911564138077665;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
