loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1199.814302635481,j,17.360700187899056,0,1217.2035223255662,1218.2181492275558,1,1218.2181492275558,X,l,go,None,0,,,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1219.6196869722626,1220.621925516636,1,1220.621925516636,Y,d,go,None,0,1221.4208313111012,,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1222.0216208380007,1223.0220523529424,1,1223.0220523529424,X,l,go,l,1,,0.35578576603438705,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1224.1231150918175,1225.123782243012,1,1225.123782243012,Y,d,go,d,1,,0.3505023746693041,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1226.1911693618458,1227.1919111796742,1,1227.1919111796742,Y,None,nogo,None,1,1227.992517821811,,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1228.5932035911683,1229.5938421363098,1,1229.5938421363098,Y,None,nogo,None,1,1230.3946305965364,,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1230.9948654570326,1231.9957541838667,1,1231.9957541838667,X,l,go,l,1,,0.5998569204239175,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1233.2964502805116,1234.2972880982852,1,1234.2972880982852,Y,d,go,d,1,,0.4727529820520431,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1235.4982271523768,1236.4987890914927,1,1236.4987890914927,Y,None,nogo,None,1,1237.2995397335471,,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1237.8998201697832,1238.9006303511997,1,1238.9006303511997,X,l,go,l,1,,0.4464683887345018,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
