loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,555.0413963235915,j,14.47490456351079,0,569.5394074770156,570.5590375184547,1,570.5590375184547,X,l,go,l,1,0.7331864950247109,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,571.9199176533148,572.9214594701771,1,572.9214594701771,Y,d,go,d,1,0.4993680550251156,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,574.0533420089632,575.0532324332744,1,575.0532324332744,X,l,go,l,1,0.43182581732980907,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,576.1036023236811,577.1035577177536,1,577.1035577177536,Y,d,go,d,1,0.47717171302065253,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,578.2035644087009,579.2033336209133,1,579.2033336209133,X,l,go,l,1,0.47306505031883717,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,580.3034367966466,581.3036011601798,1,581.3036011601798,X,None,nogo,None,1,,582.1034229299985,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,582.7037404084112,583.7035479238257,1,583.7035479238257,X,None,nogo,l,0,0.5802004614379257,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,585.3035774026066,586.3035580087453,1,586.3035580087453,Y,d,go,d,1,0.6210333914496005,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,587.553410372464,588.5535703722853,1,588.5535703722853,X,l,go,l,1,0.6586677792947739,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,589.836665855255,590.8367002794985,1,590.8367002794985,X,None,nogo,l,0,0.3909332510083914,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,592.2535789057147,593.2536472692154,1,593.2536472692154,Y,d,go,None,0,,594.0532818876673,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,594.6535508814268,595.6532459119335,1,595.6532459119335,X,l,go,l,1,0.37510393327102065,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
