loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,3630.036801490234,j,22.7183401590446,0,3652.7839740935597,3653.803012657474,1,3653.803012657474,X,d,go,None,0,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,3655.199239950787,3656.200304194237,1,3656.200304194237,Y,l,go,None,0,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,3657.601092946512,3658.6024970690924,1,3658.6024970690924,X,d,go,d,1,0.4685978562774835,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,3659.7866393082513,3660.7874732484634,1,3660.7874732484634,Y,l,go,l,1,0.5707206219667569,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,3662.088482025196,3663.089184086479,1,3663.089184086479,X,d,go,d,1,0.36616769632382784,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,3664.1733558044652,3665.174490351026,1,3665.174490351026,Y,l,go,l,1,0.44156073914200533,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,3666.3249661332957,3667.3259353463654,1,3667.3259353463654,X,d,go,d,1,0.3527431984693976,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,3668.4098985792953,3669.410890095416,1,3669.410890095416,Y,l,go,l,1,0.3319296025292715,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,3670.46147632628,3671.4622734179575,1,3671.4622734179575,Y,None,nogo,None,1,,3672.262958315594,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,3672.8635106555303,3673.864205928927,1,3673.864205928927,X,d,go,d,1,0.4064140383852646,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
