loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,167.50462666097155,j,15.511041458159525,0,183.03546867429577,184.05092670655176,1,184.05092670655176,X,l,go,l,1,0.6484673403010675,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,185.4024093508815,186.40419355381346,1,186.40419355381346,Y,d,go,d,1,0.37605331660779484,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,187.48790873282996,188.48891509056557,1,188.48891509056557,X,l,go,l,1,0.41026742834219476,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,189.6066536123235,190.60757135478343,1,190.60757135478343,Y,d,go,d,1,0.4368306777014368,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,191.75880316865187,192.75970532138854,1,192.75970532138854,X,l,go,l,1,0.34019243766670115,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,193.81076002778173,194.81202074417888,1,194.81202074417888,X,None,nogo,l,0,0.3281391191667353,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,196.24670328610955,197.2475689260682,1,197.2475689260682,Y,d,go,d,1,0.4607686995204858,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,198.41555641162267,199.41642820542074,1,199.41642820542074,X,l,go,l,1,0.4021185152942053,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,200.55105244998595,201.55189962843178,1,201.55189962843178,Y,d,go,d,1,0.5002197278881795,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,202.75327825237582,203.75429240497397,1,203.75429240497397,X,l,go,l,1,0.44187928687097155,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
