loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,215.88038915934158,j,20.640568324917695,0,236.54543594486313,237.55842117586872,1,237.55842117586872,238.35894209783874,X,d,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,238.95939436517074,239.95998685088125,1,239.95998685088125,240.7605780759768,Y,l,go,None,0,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,241.3610642827698,242.36189434456173,1,242.36189434456173,,X,d,go,d,1,0.3474663228262216,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,243.412877691444,244.4135230257234,1,244.4135230257234,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,245.8144108815759,246.8154310042737,1,246.8154310042737,,Y,l,go,l,1,0.40553137694951147,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,247.93289687208016,248.93342244860833,1,248.93342244860833,,X,d,go,d,1,0.4796008180419449,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,250.11771120151388,251.11868089990458,1,251.11868089990458,251.91921588248806,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,252.51952172536403,253.52033336291788,1,253.52033336291788,,Y,l,go,l,1,0.4202737014275044,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,254.6547369523323,255.6554351351806,1,255.6554351351806,,X,d,go,d,1,0.47766675462480634,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,256.83949891806697,257.84054425291833,1,257.84054425291833,,Y,l,go,l,1,0.46784564942936413,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,259.0246802783222,260.02545021884725,1,260.02545021884725,,X,d,go,d,1,0.45903981843730435,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,261.1928351895767,262.1936012512888,1,262.1936012512888,,Y,l,go,l,1,0.4348952984728385,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,263.3447103195649,264.345328017429,1,264.345328017429,,X,d,go,d,1,0.4918131994199939,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,265.5463624916738,266.5471605534549,1,266.5471605534549,,Y,l,go,l,1,0.6098676741821691,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,267.86483956096345,268.86538550115074,1,268.86538550115074,,X,d,go,d,1,0.40358131349785253,,,,,,,,,,,,,,,,,66,001,19,w,Psychologie Bachelor,2023-01-25_10h30.47.531,00_bat_bachelor,2022.2.4,60.02156415137956,
