loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,513.2897536335804,j,23.903571005444974,0,537.2232381428767,538.2378660429677,1,538.2378660429677,X,d,go,None,0,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,539.6387267472455,540.6394278391672,1,540.6394278391672,Y,l,go,l,1,0.4545880493533332,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,541.8068414160225,542.8077795991849,1,542.8077795991849,X,d,go,d,1,0.2547346677456517,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,543.7753713096317,544.7760035529791,1,544.7760035529791,Y,l,go,l,1,0.49329356019734405,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,545.976951239194,546.9773071185045,1,546.9773071185045,Y,None,nogo,l,0,0.5008334499434568,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,548.5962069278175,549.5970268077799,1,549.5970268077799,X,d,go,d,1,0.3607731250231154,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,550.6806322627235,551.6815452337614,1,551.6815452337614,Y,l,go,l,1,0.32407731405692175,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,552.7157135258894,553.7163913450495,1,553.7163913450495,X,d,go,d,1,0.481705664540641,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,554.9008211890759,555.9014471293776,1,555.9014471293776,Y,l,go,l,1,0.28028573520714417,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,556.8854640758364,557.8863358346571,1,557.8863358346571,X,d,go,l,0,0.37575399529305287,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
