loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,366.17245400854154,j,18.640009368245956,0,384.8444118418265,385.8493973466102,1,385.8493973466102,X,d,go,d,1,0.5328308396274224,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,387.07861385314027,388.07946837705094,1,388.07946837705094,Y,l,go,l,1,0.3058089990518056,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,389.09675855684327,390.09752569295233,1,390.09752569295233,X,d,go,d,1,0.3681520015816204,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,391.18167664983775,392.1832402467262,1,392.1832402467262,X,None,nogo,d,0,0.5210062111145817,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,393.86697109695524,394.8691458221292,1,394.8691458221292,Y,l,go,l,1,0.4124678927473724,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,396.01958132436266,397.02066868694965,1,397.02066868694965,X,d,go,d,1,0.34955745592014864,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,398.08710601436906,399.08787842892343,1,399.08787842892343,Y,l,go,l,1,0.38597706524888054,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,400.1886879099766,401.18947234761436,1,401.18947234761436,Y,None,nogo,None,1,,401.9900069969008,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,402.5905261627049,403.5912839148659,1,403.5912839148659,X,d,go,d,1,0.40202064893674105,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,404.7088786030654,405.7096920722979,1,405.7096920722979,Y,l,go,l,1,0.48351184878265485,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,406.89383904106217,407.89454664784716,1,407.89454664784716,X,d,go,d,1,0.3785939670051448,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,408.9785970207304,409.9792785284808,1,409.9792785284808,Y,l,go,l,1,0.47735863155685365,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,411.1636820889544,412.16437122115167,1,412.16437122115167,Y,None,nogo,None,1,,412.96517389884684,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,413.56553236488253,414.5663188553299,1,414.5663188553299,X,d,go,d,1,0.25897645589429885,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,415.5336548697087,416.53447361738654,1,416.53447361738654,Y,l,go,l,1,0.5787716164486483,,,,,,,,,,,,,,,,70,001,22,w,Psychologie,2023-01-25_12h06.18.082,00_bat_bachelor,2022.2.5,60.21089171903543,
