loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,79.1798980946187,j,9.553268246701919,0,88.75470605841838,89.76858386979438,1,89.76858386979438,90.5679740277119,X,l,go,None,0,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,91.16835579718463,92.16831943357829,1,92.16831943357829,92.96800777316093,Y,d,go,None,0,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,93.5682785124518,94.56816893664654,1,94.56816893664654,,X,l,go,l,1,0.2433178515639156,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,95.51799150649458,96.51804823370185,1,96.51804823370185,,Y,d,go,d,1,0.22891688894014806,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,97.45150426600594,98.45152753870934,1,98.45152753870934,99.25182727188803,Y,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,99.85150940541644,100.85133873880841,1,100.85133873880841,101.65136938123032,Y,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,102.25167309015524,103.25130993884522,1,103.25130993884522,,X,l,go,l,1,0.34424337837845087,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,104.30151015694719,105.30164785380475,1,105.30164785380475,,Y,d,go,d,1,0.24552924442104995,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,106.2514592721127,107.25129345396999,1,107.25129345396999,,X,l,go,l,1,0.3440295603359118,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,108.3013103994308,109.3016386416275,1,109.3016386416275,,Y,d,go,d,1,0.37332360667642206,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
