loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1020.9775971018244,j,10.755981231341138,0,1031.7659618104808,1032.7807458033785,1,1032.7807458033785,X,d,go,None,0,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1034.1814093666617,1035.1821293663234,1,1035.1821293663234,Y,l,go,None,0,1035.982853826601,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1036.583191959653,1037.5841534137726,1,1037.5841534137726,X,d,go,d,1,,0.30672569177113473,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1038.6016511023045,1039.6023114656564,1,1039.6023114656564,X,None,nogo,None,1,1040.4028652592096,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1041.0035786649678,1042.003984482959,1,1042.003984482959,Y,l,go,None,0,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1043.4052865915,1044.4059576212894,1,1044.4059576212894,X,d,go,d,1,,0.3484129442367703,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1045.456872020848,1046.4575988084543,1,1046.4575988084543,Y,l,go,None,0,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1047.8584960685112,1048.8594560681377,1,1048.8594560681377,X,d,go,None,0,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1050.2605729645584,1051.2611373278778,1,1051.2611373278778,X,None,nogo,d,0,,0.21361203980632126,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1052.5788680829573,1053.5797233553603,1,1053.5797233553603,Y,l,go,None,0,1054.3804182398599,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
