loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,18395.87322478858,j,13.861906944774091,0,18409.77556035109,18410.79795209784,1,18410.79795209784,X,d,go,None,0,,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,18412.21713831881,18413.218119651778,1,18413.218119651778,Y,l,go,l,1,0.4665665302891284,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,18414.400417745113,18415.400234472472,1,18415.400234472472,X,d,go,l,0,0.34739810321480036,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,18416.466868137242,18417.466967531014,1,18417.466967531014,Y,l,go,None,0,,18418.267001082655,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,18418.86733630672,18419.866883458337,1,18419.866883458337,Y,None,nogo,l,0,0.6169199121650308,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,18421.616887943354,18422.61671970086,1,18422.61671970086,X,d,go,d,1,0.5558755779638886,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,18423.88317823829,18424.88312684442,1,18424.88312684442,Y,l,go,l,1,0.6418619605246931,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,18426.232849826338,18427.23312570504,1,18427.23312570504,X,d,go,None,0,,18428.03311465052,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,18428.633065389935,18429.632834117394,1,18429.632834117394,X,None,nogo,d,0,0.6425257178489119,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,18431.382825511275,18432.3832541171,1,18432.3832541171,Y,l,go,None,0,,18433.182824638672,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
