loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,3224.0540300606062,j,18.087869999999953,0,3242.1761696969697,3243.2079646060606,1,3243.2079646060606,X,d,go,None,0,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,3244.6087127272726,3245.6097483636363,1,3245.6097483636363,Y,l,go,l,1,0.33719460606073426,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,3246.6604363636366,3247.661069090909,1,3247.661069090909,X,d,go,d,1,0.333461272727277,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,3248.6954075151516,3249.6961730909093,1,3249.6961730909093,Y,l,go,l,1,0.31525569696998446,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,3250.713596606061,3251.714531878788,1,3251.714531878788,Y,None,nogo,l,0,0.58404115151518,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,3253.415615515152,3254.416235151515,1,3254.416235151515,X,d,go,d,1,0.4746656363637385,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,3255.6006157575757,3256.6011873939397,1,3256.6011873939397,Y,l,go,l,1,0.41750636363633475,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,3257.7187432727274,3258.719814787879,1,3258.719814787879,Y,None,nogo,l,0,0.507095696969941,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,3260.3537105454548,3261.354772848485,1,3261.354772848485,X,d,go,d,1,0.48077036363622483,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,3262.5390724848485,3263.5398104242427,1,3263.5398104242427,Y,l,go,l,1,0.3115858787879233,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,3264.556915878788,3265.5579476363637,1,3265.5579476363637,X,d,go,d,1,0.4367630909092668,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,3266.7087612121213,3267.709676606061,1,3267.709676606061,Y,l,go,l,1,0.47809109090906077,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,3268.893740606061,3269.894625454546,1,3269.894625454546,X,d,go,d,1,0.46746127272729154,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,3271.078547878788,3272.0796824242425,1,3272.0796824242425,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,3273.4806550303033,3274.4815956363636,1,3274.4815956363636,Y,l,go,l,1,0.3936304848485861,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,3290.660528484849,3290.860862060606,0.2,3290.860862060606,X,d,go,d,1,0.47813763636361273,3275.6006332121215,j,15.038190000000327,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,3292.0449381818185,3292.2452392727273,0.2,3292.2452392727273,Y,l,go,l,1,0.37386563636403025,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,3293.3290661818182,3293.5289944242427,0.2,3293.5289944242427,X,d,go,d,1,0.33746903030316844,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,3294.59661769697,3294.7968290909093,0.2,3294.7968290909093,Y,l,go,l,1,0.3654452727274702,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,3295.8642846060607,3296.0642715151516,0.2,3296.0642715151516,Y,None,nogo,None,1,,,,,3296.865177212121,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
