loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,169.95253236363715,j,22.53001142424182,0,192.51210424242527,193.52659296969796,1,193.52659296969796,X,d,go,None,0,,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,194.92767757575893,195.92849793939422,1,195.92849793939422,Y,l,go,None,0,196.72927466666806,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,197.3295161212136,198.33031806060717,1,198.33031806060717,X,d,go,d,1,,0.6129336060603237,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,199.64799224242597,200.64893187878806,1,200.64893187878806,X,None,nogo,d,0,,0.6457234242425329,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,202.41627636363773,203.41717333333509,1,203.41717333333509,Y,l,go,d,0,,0.5983066969693027,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,204.71826472727298,205.71876509090907,1,205.71876509090907,X,d,go,d,1,,0.4085515454535198,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,206.83651781818298,207.83734206060763,1,207.83734206060763,Y,l,go,l,1,,0.36959203030346544,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,208.92143466666676,209.9222652121225,1,209.9222652121225,X,d,go,d,1,,0.3497690000003786,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,210.97270545454558,211.97349575757653,1,211.97349575757653,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,213.37456630303132,214.3758943030316,1,214.3758943030316,Y,l,go,l,1,,0.5351265757581132,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,215.62665842424394,216.627440969698,1,216.627440969698,X,d,go,d,1,,0.31458645454586076,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,217.66152969697032,218.66224242424323,1,218.66224242424323,X,None,nogo,d,0,,0.33009966666577384,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,220.09665309090997,221.09750157575763,1,221.09750157575763,Y,l,go,l,1,,0.4209743333321967,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,222.2315713939406,223.2320654545456,1,223.2320654545456,X,d,go,d,1,,0.511050454544602,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,224.4498952727281,225.4510351515164,1,225.4510351515164,Y,l,go,l,1,,0.46798281818155374,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,245.31583272727403,245.51574690909183,0.2,245.51574690909183,X,d,go,d,1,,0.46703057575723506,226.66096775757615,j,18.637363181818728,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,246.6836261818189,246.88373187878824,0.2,246.88373187878824,Y,l,go,l,1,,0.36357845454404014,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,247.95154569697115,248.15140654545576,0.2,248.15140654545576,X,d,go,d,1,,0.3130557878794207,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,249.1687122424246,249.36901139394104,0.2,249.36901139394104,Y,l,go,l,1,,0.35853360606051865,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,250.43651490909178,250.63654448484886,0.2,250.63654448484886,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,252.0377178181825,252.23773333333338,0.2,252.23773333333338,Y,None,nogo,l,0,,0.41774233333308075,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,253.7723170909103,253.97244218181913,0.2,253.97244218181913,X,d,go,d,1,,0.6501340909089777,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,255.32358351515177,255.52339539394052,0.2,255.52339539394052,Y,l,go,l,1,,0.4599668181799643,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,256.69131151515285,256.89119757575827,0.2,256.89119757575827,Y,None,nogo,None,1,257.69202278788,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,258.292416969698,258.49302400000124,0.2,258.49302400000124,X,d,go,d,1,,0.3870620909092395,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,259.59368775757684,259.7939301818187,0.2,259.7939301818187,Y,l,go,l,1,,0.44472754545313364,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,260.9446564848495,261.14503369697013,0.2,261.14503369697013,X,d,go,d,1,,0.4226984545439336,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,262.27925963636517,262.47926884848494,0.2,262.47926884848494,X,None,nogo,None,1,263.2798584242428,,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,263.88046593939544,264.08032630303205,0.2,264.08032630303205,Y,l,go,l,1,,0.430155424242912,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,265.23140169697035,265.4315214545459,0.2,265.4315214545459,X,d,go,d,1,,0.3911328787871753,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.57779393939563,None,,266.57779393939563,266.57779393939563,space,9.905480030301987,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,277.5071486060606,X,d,go,d,1,,0.28357651515216276,,,,,,,,,,,,,,,,,86,001,26,w,Bsc Psychologie,2023-01-31_13h06.57.721,00_bat_bachelor,2022.2.4,59.77307965404662,
