loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,531.9078007719945,j,24.35512108146213,0,556.2848197405692,557.2997094304301,1,557.2997094304301,X,l,go,None,0,,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,558.7008040237706,559.7011681448203,1,559.7011681448203,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,561.1022414050531,562.1032523135655,1,562.1032523135655,X,l,go,l,1,0.3173082515131682,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,563.1206952142529,564.1214224866126,1,564.1214224866126,Y,d,go,d,1,0.3299870330374688,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,565.1553337427322,566.156144893961,1,566.156144893961,X,l,go,l,1,0.408342873910442,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,567.2737424126826,568.2746471394785,1,568.2746471394785,Y,d,go,d,1,0.3686192568857223,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,569.3586165534798,570.3595343711786,1,570.3595343711786,X,l,go,l,1,0.4441406747791916,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,571.5103939343244,572.5111939338967,1,572.5111939338967,Y,d,go,d,1,0.40416930010542274,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,573.628700301284,574.6293902401812,1,574.6293902401812,Y,None,nogo,None,1,,575.430015306687,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,576.0303602276836,577.0313905302901,1,577.0313905302901,X,l,go,l,1,0.3486047210171819,,,,,,,,,,,,,,,,,,89,001,22,w,Psychologie,2023-02-01_12h01.02.843,00_bat_bachelor,2022.2.4,60.03425951343806,
